CIC_MEM_VERS = 2.0
CREATION_DATE =2023-55-02T12:06:20
ORIGINATOR = IONSAT TEAM

META_START

OBJECT_NAME =IONSAT
OBJECT_ID =IONSAT X21
USER_DEFINED_PROTOCOL = CIC
USER_DEFINED_CONTENT = SATELLITE_ECLIPSE

TIME_SYSTEM =UTC

META_STOP

2024-09-21T12:00:00 1
2024-09-21T12:00:09 1
2024-09-21T12:00:20 1
2024-09-21T12:00:29 1
2024-09-21T12:00:39 1
2024-09-21T12:00:50 1
2024-09-21T12:00:59 1
2024-09-21T12:01:09 1
2024-09-21T12:01:20 1
2024-09-21T12:01:29 1
2024-09-21T12:01:39 1
2024-09-21T12:01:50 1
2024-09-21T12:01:59 1
2024-09-21T12:02:10 1
2024-09-21T12:02:20 1
2024-09-21T12:02:29 1
2024-09-21T12:02:40 1
2024-09-21T12:02:50 1
2024-09-21T12:02:59 1
2024-09-21T12:03:10 1
2024-09-21T12:03:20 1
2024-09-21T12:03:29 1
2024-09-21T12:03:40 1
2024-09-21T12:03:49 1
2024-09-21T12:03:59 1
2024-09-21T12:04:10 1
2024-09-21T12:04:19 1
2024-09-21T12:04:29 1
2024-09-21T12:04:40 1
2024-09-21T12:04:49 1
2024-09-21T12:04:59 1
2024-09-21T12:05:10 1
2024-09-21T12:05:19 1
2024-09-21T12:05:29 1
2024-09-21T12:05:40 1
2024-09-21T12:05:49 1
2024-09-21T12:06:00 1
2024-09-21T12:06:10 1
2024-09-21T12:06:19 1
2024-09-21T12:06:30 1
2024-09-21T12:06:40 1
2024-09-21T12:06:49 1
2024-09-21T12:07:00 1
2024-09-21T12:07:10 1
2024-09-21T12:07:19 1
2024-09-21T12:07:30 1
2024-09-21T12:07:39 1
2024-09-21T12:07:49 1
2024-09-21T12:08:00 1
2024-09-21T12:08:09 1
2024-09-21T12:08:19 1
2024-09-21T12:08:30 1
2024-09-21T12:08:39 1
2024-09-21T12:08:49 1
2024-09-21T12:09:00 1
2024-09-21T12:09:09 1
2024-09-21T12:09:19 1
2024-09-21T12:09:30 1
2024-09-21T12:09:39 1
2024-09-21T12:09:50 1
2024-09-21T12:10:00 1
2024-09-21T12:10:09 1
2024-09-21T12:10:20 1
2024-09-21T12:10:30 1
2024-09-21T12:10:39 1
2024-09-21T12:10:50 1
2024-09-21T12:11:00 1
2024-09-21T12:11:09 1
2024-09-21T12:11:20 1
2024-09-21T12:11:29 1
2024-09-21T12:11:39 1
2024-09-21T12:11:50 1
2024-09-21T12:11:59 1
2024-09-21T12:12:09 1
2024-09-21T12:12:20 1
2024-09-21T12:12:29 1
2024-09-21T12:12:39 1
2024-09-21T12:12:50 1
2024-09-21T12:12:59 1
2024-09-21T12:13:10 1
2024-09-21T12:13:20 1
2024-09-21T12:13:29 1
2024-09-21T12:13:40 1
2024-09-21T12:13:50 1
2024-09-21T12:13:59 1
2024-09-21T12:14:10 1
2024-09-21T12:14:20 1
2024-09-21T12:14:29 1
2024-09-21T12:14:40 1
2024-09-21T12:14:50 1
2024-09-21T12:14:59 1
2024-09-21T12:15:10 1
2024-09-21T12:15:19 1
2024-09-21T12:15:29 1
2024-09-21T12:15:40 1
2024-09-21T12:15:49 1
2024-09-21T12:15:59 1
2024-09-21T12:16:10 1
2024-09-21T12:16:19 1
2024-09-21T12:16:29 1
2024-09-21T12:16:40 1
2024-09-21T12:16:49 1
2024-09-21T12:17:00 1
2024-09-21T12:17:10 1
2024-09-21T12:17:19 1
2024-09-21T12:17:30 1
2024-09-21T12:17:40 1
2024-09-21T12:17:49 1
2024-09-21T12:18:00 1
2024-09-21T12:18:10 1
2024-09-21T12:18:19 0
2024-09-21T12:18:30 0
2024-09-21T12:18:40 0
2024-09-21T12:18:49 0
2024-09-21T12:19:00 0
2024-09-21T12:19:09 0
2024-09-21T12:19:19 0
2024-09-21T12:19:30 0
2024-09-21T12:19:39 0
2024-09-21T12:19:49 0
2024-09-21T12:20:00 0
2024-09-21T12:20:09 0
2024-09-21T12:20:19 0
2024-09-21T12:20:30 0
2024-09-21T12:20:39 0
2024-09-21T12:20:50 0
2024-09-21T12:21:00 0
2024-09-21T12:21:09 0
2024-09-21T12:21:20 0
2024-09-21T12:21:30 0
2024-09-21T12:21:39 0
2024-09-21T12:21:50 0
2024-09-21T12:22:00 0
2024-09-21T12:22:09 0
2024-09-21T12:22:20 0
2024-09-21T12:22:30 0
2024-09-21T12:22:39 0
2024-09-21T12:22:50 0
2024-09-21T12:22:59 0
2024-09-21T12:23:09 0
2024-09-21T12:23:20 0
2024-09-21T12:23:29 0
2024-09-21T12:23:39 0
2024-09-21T12:23:50 0
2024-09-21T12:23:59 0
2024-09-21T12:24:09 0
2024-09-21T12:24:20 0
2024-09-21T12:24:29 0
2024-09-21T12:24:40 0
2024-09-21T12:24:50 0
2024-09-21T12:24:59 0
2024-09-21T12:25:10 0
2024-09-21T12:25:20 0
2024-09-21T12:25:29 0
2024-09-21T12:25:40 0
2024-09-21T12:25:50 0
2024-09-21T12:25:59 0
2024-09-21T12:26:10 0
2024-09-21T12:26:19 0
2024-09-21T12:26:29 0
2024-09-21T12:26:40 0
2024-09-21T12:26:49 0
2024-09-21T12:26:59 0
2024-09-21T12:27:10 0
2024-09-21T12:27:19 0
2024-09-21T12:27:29 0
2024-09-21T12:27:40 0
2024-09-21T12:27:49 0
2024-09-21T12:27:59 0
2024-09-21T12:28:10 0
2024-09-21T12:28:19 0
2024-09-21T12:28:30 0
2024-09-21T12:28:40 0
2024-09-21T12:28:49 0
2024-09-21T12:29:00 0
2024-09-21T12:29:10 0
2024-09-21T12:29:19 0
2024-09-21T12:29:30 0
2024-09-21T12:29:40 0
2024-09-21T12:29:49 0
2024-09-21T12:30:00 0
2024-09-21T12:30:09 0
2024-09-21T12:30:19 0
2024-09-21T12:30:30 0
2024-09-21T12:30:39 0
2024-09-21T12:30:49 0
2024-09-21T12:31:00 0
2024-09-21T12:31:09 0
2024-09-21T12:31:19 0
2024-09-21T12:31:30 0
2024-09-21T12:31:39 0
2024-09-21T12:31:49 0
2024-09-21T12:32:00 0
2024-09-21T12:32:09 0
2024-09-21T12:32:20 0
2024-09-21T12:32:30 0
2024-09-21T12:32:39 0
2024-09-21T12:32:50 0
2024-09-21T12:33:00 0
2024-09-21T12:33:09 0
2024-09-21T12:33:20 0
2024-09-21T12:33:30 0
2024-09-21T12:33:39 0
2024-09-21T12:33:50 0
2024-09-21T12:33:59 0
2024-09-21T12:34:09 0
2024-09-21T12:34:20 0
2024-09-21T12:34:29 0
2024-09-21T12:34:39 0
2024-09-21T12:34:50 0
2024-09-21T12:34:59 0
2024-09-21T12:35:09 0
2024-09-21T12:35:20 0
2024-09-21T12:35:29 0
2024-09-21T12:35:40 0
2024-09-21T12:35:50 0
2024-09-21T12:35:59 0
2024-09-21T12:36:10 0
2024-09-21T12:36:20 0
2024-09-21T12:36:29 0
2024-09-21T12:36:40 0
2024-09-21T12:36:50 0
2024-09-21T12:36:59 0
2024-09-21T12:37:10 0
2024-09-21T12:37:20 0
2024-09-21T12:37:29 0
2024-09-21T12:37:40 0
2024-09-21T12:37:49 0
2024-09-21T12:37:59 0
2024-09-21T12:38:10 0
2024-09-21T12:38:19 0
2024-09-21T12:38:29 0
2024-09-21T12:38:40 0
2024-09-21T12:38:49 0
2024-09-21T12:38:59 0
2024-09-21T12:39:10 0
2024-09-21T12:39:19 0
2024-09-21T12:39:30 0
2024-09-21T12:39:40 0
2024-09-21T12:39:49 0
2024-09-21T12:40:00 0
2024-09-21T12:40:10 0
2024-09-21T12:40:19 0
2024-09-21T12:40:30 0
2024-09-21T12:40:40 0
2024-09-21T12:40:49 0
2024-09-21T12:41:00 0
2024-09-21T12:41:10 0
2024-09-21T12:41:19 0
2024-09-21T12:41:30 0
2024-09-21T12:41:39 0
2024-09-21T12:41:49 0
2024-09-21T12:42:00 0
2024-09-21T12:42:09 0
2024-09-21T12:42:19 0
2024-09-21T12:42:30 0
2024-09-21T12:42:39 0
2024-09-21T12:42:49 0
2024-09-21T12:43:00 0
2024-09-21T12:43:09 0
2024-09-21T12:43:20 0
2024-09-21T12:43:30 0
2024-09-21T12:43:39 0
2024-09-21T12:43:50 0
2024-09-21T12:44:00 0
2024-09-21T12:44:09 0
2024-09-21T12:44:20 0
2024-09-21T12:44:30 0
2024-09-21T12:44:39 0
2024-09-21T12:44:50 0
2024-09-21T12:45:00 0
2024-09-21T12:45:09 0
2024-09-21T12:45:20 0
2024-09-21T12:45:29 0
2024-09-21T12:45:39 0
2024-09-21T12:45:50 0
2024-09-21T12:45:59 0
2024-09-21T12:46:09 0
2024-09-21T12:46:20 0
2024-09-21T12:46:29 0
2024-09-21T12:46:39 0
2024-09-21T12:46:50 0
2024-09-21T12:46:59 0
2024-09-21T12:47:10 0
2024-09-21T12:47:20 0
2024-09-21T12:47:29 0
2024-09-21T12:47:40 0
2024-09-21T12:47:50 0
2024-09-21T12:47:59 0
2024-09-21T12:48:10 0
2024-09-21T12:48:20 0
2024-09-21T12:48:29 0
2024-09-21T12:48:40 0
2024-09-21T12:48:49 0
2024-09-21T12:48:59 0
2024-09-21T12:49:10 0
2024-09-21T12:49:19 0
2024-09-21T12:49:29 0
2024-09-21T12:49:40 0
2024-09-21T12:49:49 0
2024-09-21T12:49:59 0
2024-09-21T12:50:10 0
2024-09-21T12:50:19 0
2024-09-21T12:50:29 0
2024-09-21T12:50:40 0
2024-09-21T12:50:49 0
2024-09-21T12:51:00 0
2024-09-21T12:51:10 0
2024-09-21T12:51:19 0
2024-09-21T12:51:30 0
2024-09-21T12:51:40 0
2024-09-21T12:51:49 0
2024-09-21T12:52:00 0
2024-09-21T12:52:10 0
2024-09-21T12:52:19 0
2024-09-21T12:52:30 0
2024-09-21T12:52:39 0
2024-09-21T12:52:49 0
2024-09-21T12:53:00 0
2024-09-21T12:53:09 0
2024-09-21T12:53:19 0
2024-09-21T12:53:30 0
2024-09-21T12:53:39 0
2024-09-21T12:53:49 0
2024-09-21T12:54:00 0
2024-09-21T12:54:09 0
2024-09-21T12:54:19 0
2024-09-21T12:54:30 0
2024-09-21T12:54:39 0
2024-09-21T12:54:50 0
2024-09-21T12:55:00 0
2024-09-21T12:55:09 0
2024-09-21T12:55:20 0
2024-09-21T12:55:30 0
2024-09-21T12:55:39 0
2024-09-21T12:55:50 0
2024-09-21T12:56:00 0
2024-09-21T12:56:09 0
2024-09-21T12:56:20 0
2024-09-21T12:56:29 0
2024-09-21T12:56:39 0
2024-09-21T12:56:50 0
2024-09-21T12:56:59 0
2024-09-21T12:57:09 0
2024-09-21T12:57:20 0
2024-09-21T12:57:29 0
2024-09-21T12:57:39 0
2024-09-21T12:57:50 0
2024-09-21T12:57:59 0
2024-09-21T12:58:10 0
2024-09-21T12:58:20 0
2024-09-21T12:58:29 0
2024-09-21T12:58:40 0
2024-09-21T12:58:50 0
2024-09-21T12:58:59 0
2024-09-21T12:59:10 0
2024-09-21T12:59:20 0
2024-09-21T12:59:29 0
2024-09-21T12:59:40 0
2024-09-21T12:59:50 0
2024-09-21T12:59:59 0
2024-09-21T13:00:10 0
2024-09-21T13:00:19 0
2024-09-21T13:00:29 0
2024-09-21T13:00:40 0
2024-09-21T13:00:49 0
2024-09-21T13:00:59 0
2024-09-21T13:01:10 0
2024-09-21T13:01:19 0
2024-09-21T13:01:29 0
2024-09-21T13:01:40 0
2024-09-21T13:01:49 0
2024-09-21T13:02:00 0
2024-09-21T13:02:10 0
2024-09-21T13:02:19 0
2024-09-21T13:02:30 0
2024-09-21T13:02:40 0
2024-09-21T13:02:49 0
2024-09-21T13:03:00 0
2024-09-21T13:03:10 0
2024-09-21T13:03:19 0
2024-09-21T13:03:30 0
2024-09-21T13:03:40 0
2024-09-21T13:03:49 0
2024-09-21T13:04:00 0
2024-09-21T13:04:09 0
2024-09-21T13:04:19 0
2024-09-21T13:04:30 0
2024-09-21T13:04:39 0
2024-09-21T13:04:49 0
2024-09-21T13:05:00 0
2024-09-21T13:05:09 0
2024-09-21T13:05:19 0
2024-09-21T13:05:30 0
2024-09-21T13:05:39 0
2024-09-21T13:05:50 0
2024-09-21T13:06:00 0
2024-09-21T13:06:09 0
2024-09-21T13:06:20 0
2024-09-21T13:06:30 0
2024-09-21T13:06:39 0
2024-09-21T13:06:50 0
2024-09-21T13:07:00 0
2024-09-21T13:07:09 0
2024-09-21T13:07:20 0
2024-09-21T13:07:30 0
2024-09-21T13:07:39 0
2024-09-21T13:07:50 0
2024-09-21T13:07:59 0
2024-09-21T13:08:09 0
2024-09-21T13:08:20 0
2024-09-21T13:08:29 0
2024-09-21T13:08:39 0
2024-09-21T13:08:50 0
2024-09-21T13:08:59 0
2024-09-21T13:09:09 0
2024-09-21T13:09:20 0
2024-09-21T13:09:29 0
2024-09-21T13:09:40 0
2024-09-21T13:09:50 0
2024-09-21T13:09:59 0
2024-09-21T13:10:10 0
2024-09-21T13:10:20 0
2024-09-21T13:10:29 0
2024-09-21T13:10:40 0
2024-09-21T13:10:50 0
2024-09-21T13:10:59 0
2024-09-21T13:11:10 0
2024-09-21T13:11:19 0
2024-09-21T13:11:29 0
2024-09-21T13:11:40 0
2024-09-21T13:11:49 0
2024-09-21T13:11:59 0
2024-09-21T13:12:10 1
2024-09-21T13:12:19 1
2024-09-21T13:12:29 1
2024-09-21T13:12:40 1
2024-09-21T13:12:49 1
2024-09-21T13:12:59 1
2024-09-21T13:13:10 1
2024-09-21T13:13:19 1
2024-09-21T13:13:30 1
2024-09-21T13:13:40 1
2024-09-21T13:13:49 1
2024-09-21T13:14:00 1
2024-09-21T13:14:10 1
2024-09-21T13:14:19 1
2024-09-21T13:14:30 1
2024-09-21T13:14:40 1
2024-09-21T13:14:49 1
2024-09-21T13:15:00 1
2024-09-21T13:15:09 1
2024-09-21T13:15:19 1
2024-09-21T13:15:30 1
2024-09-21T13:15:39 1
2024-09-21T13:15:49 1
2024-09-21T13:16:00 1
2024-09-21T13:16:09 1
2024-09-21T13:16:19 1
2024-09-21T13:16:30 1
2024-09-21T13:16:39 1
2024-09-21T13:16:49 1
2024-09-21T13:17:00 1
2024-09-21T13:17:09 1
2024-09-21T13:17:20 1
2024-09-21T13:17:30 1
2024-09-21T13:17:39 1
2024-09-21T13:17:50 1
2024-09-21T13:18:00 1
2024-09-21T13:18:09 1
2024-09-21T13:18:20 1
2024-09-21T13:18:30 1
2024-09-21T13:18:39 1
2024-09-21T13:18:50 1
2024-09-21T13:18:59 1
2024-09-21T13:19:09 1
2024-09-21T13:19:20 1
2024-09-21T13:19:29 1
2024-09-21T13:19:39 1
2024-09-21T13:19:50 1
2024-09-21T13:19:59 1
2024-09-21T13:20:09 1
2024-09-21T13:20:20 1
2024-09-21T13:20:29 1
2024-09-21T13:20:40 1
2024-09-21T13:20:50 1
2024-09-21T13:20:59 1
2024-09-21T13:21:10 1
2024-09-21T13:21:20 1
2024-09-21T13:21:29 1
2024-09-21T13:21:40 1
2024-09-21T13:21:50 1
2024-09-21T13:21:59 1
2024-09-21T13:22:10 1
2024-09-21T13:22:20 1
2024-09-21T13:22:29 1
2024-09-21T13:22:40 1
2024-09-21T13:22:49 1
2024-09-21T13:22:59 1
2024-09-21T13:23:10 1
2024-09-21T13:23:19 1
2024-09-21T13:23:29 1
2024-09-21T13:23:40 1
2024-09-21T13:23:49 1
2024-09-21T13:23:59 1
2024-09-21T13:24:10 1
2024-09-21T13:24:19 1
2024-09-21T13:24:30 1
2024-09-21T13:24:40 1
2024-09-21T13:24:49 1
2024-09-21T13:25:00 1
2024-09-21T13:25:10 1
2024-09-21T13:25:19 1
2024-09-21T13:25:30 1
2024-09-21T13:25:40 1
2024-09-21T13:25:49 1
2024-09-21T13:26:00 1
2024-09-21T13:26:10 1
2024-09-21T13:26:19 1
2024-09-21T13:26:30 1
2024-09-21T13:26:39 1
2024-09-21T13:26:49 1
2024-09-21T13:27:00 1
2024-09-21T13:27:09 1
2024-09-21T13:27:19 1
2024-09-21T13:27:30 1
2024-09-21T13:27:39 1
2024-09-21T13:27:49 1
2024-09-21T13:28:00 1
2024-09-21T13:28:09 1
2024-09-21T13:28:20 1
2024-09-21T13:28:30 1
2024-09-21T13:28:39 1
2024-09-21T13:28:50 1
2024-09-21T13:29:00 1
2024-09-21T13:29:09 1
2024-09-21T13:29:20 1
2024-09-21T13:29:30 1
2024-09-21T13:29:39 1
2024-09-21T13:29:50 1
2024-09-21T13:30:00 1
2024-09-21T13:30:09 1
2024-09-21T13:30:20 1
2024-09-21T13:30:29 1
2024-09-21T13:30:39 1
2024-09-21T13:30:50 1
2024-09-21T13:30:59 1
2024-09-21T13:31:09 1
2024-09-21T13:31:20 1
2024-09-21T13:31:29 1
2024-09-21T13:31:39 1
2024-09-21T13:31:50 1
2024-09-21T13:31:59 1
2024-09-21T13:32:10 1
2024-09-21T13:32:20 1
2024-09-21T13:32:29 1
2024-09-21T13:32:40 1
2024-09-21T13:32:50 1
2024-09-21T13:32:59 1
2024-09-21T13:33:10 1
2024-09-21T13:33:20 1
2024-09-21T13:33:29 1
2024-09-21T13:33:40 1
2024-09-21T13:33:49 1
2024-09-21T13:33:59 1
2024-09-21T13:34:10 1
2024-09-21T13:34:19 1
2024-09-21T13:34:29 1
2024-09-21T13:34:40 1
2024-09-21T13:34:49 1
2024-09-21T13:34:59 1
2024-09-21T13:35:10 1
2024-09-21T13:35:19 1
2024-09-21T13:35:29 1
2024-09-21T13:35:40 1
2024-09-21T13:35:49 1
2024-09-21T13:36:00 1
2024-09-21T13:36:10 1
2024-09-21T13:36:19 1
2024-09-21T13:36:30 1
2024-09-21T13:36:40 1
2024-09-21T13:36:49 1
2024-09-21T13:37:00 1
2024-09-21T13:37:10 1
2024-09-21T13:37:19 1
2024-09-21T13:37:30 1
2024-09-21T13:37:39 1
2024-09-21T13:37:49 1
2024-09-21T13:38:00 1
2024-09-21T13:38:09 1
2024-09-21T13:38:19 1
2024-09-21T13:38:30 1
2024-09-21T13:38:39 1
2024-09-21T13:38:49 1
2024-09-21T13:39:00 1
2024-09-21T13:39:09 1
2024-09-21T13:39:19 1
2024-09-21T13:39:30 1
2024-09-21T13:39:39 1
2024-09-21T13:39:50 1
2024-09-21T13:40:00 1
2024-09-21T13:40:09 1
2024-09-21T13:40:20 1
2024-09-21T13:40:30 1
2024-09-21T13:40:39 1
2024-09-21T13:40:50 1
2024-09-21T13:41:00 1
2024-09-21T13:41:09 1
2024-09-21T13:41:20 1
2024-09-21T13:41:29 1
2024-09-21T13:41:39 1
2024-09-21T13:41:50 1
2024-09-21T13:41:59 1
2024-09-21T13:42:09 1
2024-09-21T13:42:20 1
2024-09-21T13:42:29 1
2024-09-21T13:42:39 1
2024-09-21T13:42:50 1
2024-09-21T13:42:59 1
2024-09-21T13:43:10 1
2024-09-21T13:43:20 1
2024-09-21T13:43:29 1
2024-09-21T13:43:40 1
2024-09-21T13:43:50 1
2024-09-21T13:43:59 1
2024-09-21T13:44:10 1
2024-09-21T13:44:20 1
2024-09-21T13:44:29 1
2024-09-21T13:44:40 1
2024-09-21T13:44:50 1
2024-09-21T13:44:59 1
2024-09-21T13:45:10 1
2024-09-21T13:45:19 1
2024-09-21T13:45:29 1
2024-09-21T13:45:40 1
2024-09-21T13:45:49 1
2024-09-21T13:45:59 1
2024-09-21T13:46:10 1
2024-09-21T13:46:19 1
2024-09-21T13:46:29 1
2024-09-21T13:46:40 1
2024-09-21T13:46:49 1
2024-09-21T13:47:00 1
2024-09-21T13:47:10 1
2024-09-21T13:47:19 1
2024-09-21T13:47:30 1
2024-09-21T13:47:40 1
2024-09-21T13:47:49 1
2024-09-21T13:48:00 1
2024-09-21T13:48:10 1
2024-09-21T13:48:19 1
2024-09-21T13:48:30 1
2024-09-21T13:48:40 1
2024-09-21T13:48:49 0
2024-09-21T13:49:00 0
2024-09-21T13:49:09 0
2024-09-21T13:49:19 0
2024-09-21T13:49:30 0
2024-09-21T13:49:39 0
2024-09-21T13:49:49 0
2024-09-21T13:50:00 0
2024-09-21T13:50:09 0
2024-09-21T13:50:19 0
2024-09-21T13:50:30 0
2024-09-21T13:50:39 0
2024-09-21T13:50:50 0
2024-09-21T13:51:00 0
2024-09-21T13:51:09 0
2024-09-21T13:51:20 0
2024-09-21T13:51:30 0
2024-09-21T13:51:39 0
2024-09-21T13:51:50 0
2024-09-21T13:52:00 0
2024-09-21T13:52:09 0
2024-09-21T13:52:20 0
2024-09-21T13:52:30 0
2024-09-21T13:52:39 0
2024-09-21T13:52:50 0
2024-09-21T13:52:59 0
2024-09-21T13:53:09 0
2024-09-21T13:53:20 0
2024-09-21T13:53:29 0
2024-09-21T13:53:39 0
2024-09-21T13:53:50 0
2024-09-21T13:53:59 0
2024-09-21T13:54:09 0
2024-09-21T13:54:20 0
2024-09-21T13:54:29 0
2024-09-21T13:54:40 0
2024-09-21T13:54:50 0
2024-09-21T13:54:59 0
2024-09-21T13:55:10 0
2024-09-21T13:55:20 0
2024-09-21T13:55:29 0
2024-09-21T13:55:40 0
2024-09-21T13:55:50 0
2024-09-21T13:55:59 0
2024-09-21T13:56:10 0
2024-09-21T13:56:19 0
