CIC_MEM_VERS = 1.0
CREATION_DATE =2023-37-04T21:04:22
ORIGINATOR = IONSAT TEAM

META_START

OBJECT_NAME =IONSAT
OBJECT_ID =IONSAT X21
USER_DEFINED_PROTOCOL = CIC
USER_DEFINED_CONTENT = GEOGRAPHICAL_COORDINATES

TIME_SYSTEM =UTC

META_STOP

2024-09-21T12:00:00 0 -179.143636769881
2024-09-21T12:00:09 0.661959654898721 -179.19429717284
2024-09-21T12:00:20 1.32391514209069 -179.244981752301
2024-09-21T12:00:29 1.98586229341555 -179.295715212019
2024-09-21T12:00:39 2.64779693980087 -179.346521805733
2024-09-21T12:00:50 3.30971491079403 -179.397425859482
2024-09-21T12:00:59 3.97161203407956 -179.448452310408
2024-09-21T12:01:09 4.63348413497696 -179.4996257147
2024-09-21T12:01:20 5.29532703591414 -179.550970786907
2024-09-21T12:01:29 5.95713655587169 -179.60251292326
2024-09-21T12:01:39 6.61890850979072 -179.654277225948
2024-09-21T12:01:50 7.28063870794445 -179.706289032415
2024-09-21T12:01:59 7.94232295526102 -179.758574445169
2024-09-21T12:02:10 8.60395705059732 -179.811159189343
2024-09-21T12:02:20 9.26553678595619 -179.864069980191
2024-09-21T12:02:29 9.92705794564128 -179.917333383037
2024-09-21T12:02:40 10.5885163053439 -179.970976340797
2024-09-21T12:02:50 11.2499076311552 179.974973281336
2024-09-21T12:02:59 11.9112276784976 179.920487681302
2024-09-21T12:03:10 12.5724721909686 179.86553857347
2024-09-21T12:03:20 13.2336368990897 179.810096657129
2024-09-21T12:03:29 13.8947175189531 179.75413258321
2024-09-21T12:03:40 14.5557097507597 179.69761641513
2024-09-21T12:03:49 15.2166092772374 179.640517088221
2024-09-21T12:03:59 15.8774117619353 179.582803372176
2024-09-21T12:04:10 16.5381128473806 179.524443332405
2024-09-21T12:04:19 17.1987081530923 179.465403773285
2024-09-21T12:04:29 17.8591932734391 179.405651210607
2024-09-21T12:04:40 18.5195637753327 179.345151311919
2024-09-21T12:04:49 19.1798151957445 179.283868344884
2024-09-21T12:04:59 19.8399430390333 179.221766138069
2024-09-21T12:05:10 20.4999427740725 179.158807514243
2024-09-21T12:05:19 21.1598098311624 179.094953736311
2024-09-21T12:05:29 21.8195395987137 179.030165448793
2024-09-21T12:05:40 22.4791274196858 178.964402117775
2024-09-21T12:05:49 23.1385685877649 178.897621451241
2024-09-21T12:06:00 23.7978583432634 178.829780515241
2024-09-21T12:06:10 24.4569918687209 178.760834306355
2024-09-21T12:06:19 25.1159642841886 178.690736854898
2024-09-21T12:06:30 25.7747706421726 178.619440640656
2024-09-21T12:06:40 26.433405922215 178.54689599377
2024-09-21T12:06:49 27.0918650250852 178.473052020625
2024-09-21T12:07:00 27.7501427665559 178.397855993252
2024-09-21T12:07:10 28.408233870733 178.321252749264
2024-09-21T12:07:19 29.0661329629084 178.243185584988
2024-09-21T12:07:30 29.7238345618996 178.163595637345
2024-09-21T12:07:39 30.3813330718406 178.082421258511
2024-09-21T12:07:49 31.0386227733816 177.999598887354
2024-09-21T12:08:00 31.6956978142546 177.915062413058
2024-09-21T12:08:09 32.3525521991562 177.828742513394
2024-09-21T12:08:19 33.0091797788955 177.74056751434
2024-09-21T12:08:30 33.6655742387509 177.650462708145
2024-09-21T12:08:39 34.3217290859724 177.558349676335
2024-09-21T12:08:49 34.9776376363629 177.464147099957
2024-09-21T12:09:00 35.6332929998639 177.367770051998
2024-09-21T12:09:09 36.2886880650661 177.269129275448
2024-09-21T12:09:19 36.9438154825528 177.168131950409
2024-09-21T12:09:30 37.5986676469834 177.064680944869
2024-09-21T12:09:39 38.253236677808 176.958674030907
2024-09-21T12:09:50 38.9075143984956 176.850004780424
2024-09-21T12:10:00 39.561492314149 176.738560898393
2024-09-21T12:10:09 40.2151615873639 176.624225073568
2024-09-21T12:10:20 40.8685130121745 176.506874104257
2024-09-21T12:10:30 41.5215369859164 176.386378012596
2024-09-21T12:10:39 42.1742234788137 176.262600627904
2024-09-21T12:10:50 42.8265620010805 176.135398632332
2024-09-21T12:11:00 43.4785415673041 176.004620570295
2024-09-21T12:11:09 44.1301506578507 175.8701073228
2024-09-21T12:11:20 44.7813771770064 175.731691038921
2024-09-21T12:11:29 45.4322084075344 175.589194003367
2024-09-21T12:11:39 46.0826309612934 175.442428982871
2024-09-21T12:11:50 46.73263072552 175.291197984138
2024-09-21T12:11:59 47.3821928043346 175.135290964983
2024-09-21T12:12:09 48.0313014549749 174.974485975401
2024-09-21T12:12:20 48.6799400182051 174.808547717463
2024-09-21T12:12:29 49.3280908422797 174.637226020606
2024-09-21T12:12:39 49.9757351997669 174.460255728008
2024-09-21T12:12:50 50.6228531964479 174.277354980071
2024-09-21T12:12:59 51.2694236714109 174.088223366972
2024-09-21T12:13:10 51.9154240873462 173.892541653503
2024-09-21T12:13:20 52.5608304099188 173.68996882178
2024-09-21T12:13:29 53.205616974948 173.480141497855
2024-09-21T12:13:40 53.8497563419535 173.262671504053
2024-09-21T12:13:50 54.4932191324329 173.037143232614
2024-09-21T12:13:59 55.1359738510096 172.80311230103
2024-09-21T12:14:10 55.7779866873329 172.560102459293
2024-09-21T12:14:20 56.4192212963102 172.307602224467
2024-09-21T12:14:29 57.0596385539044 172.045062714063
2024-09-21T12:14:40 57.6991962853274 171.771893636582
2024-09-21T12:14:50 58.3378489619894 171.487458879682
2024-09-21T12:14:59 58.97554736302 171.19107319466
2024-09-21T12:15:10 59.6122381965378 170.881996859643
2024-09-21T12:15:19 60.2478636750977 170.559429805586
